"YEAR","SEGMENT","MAKE","LITERS","CID"
2008,"3 RH Tractor                                      ","INTERNATIONAL                           ","10.8","661"
2012,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2013,"4 LH Tractor                                      ","FREIGHTLINER                            ","14.8","903"
2007,"3 RH Tractor                                      ","INTERNATIONAL                           ","10.8","661"
2009,"4 LH Tractor                                      ","FREIGHTLINER                            ","14","855"
2007,"3 RH Tractor                                      ","INTERNATIONAL                           ","10.8","661"
2013,"3 RH Tractor                                      ","FREIGHTLINER                            ","12.8","781"
2012,"3 RH Tractor                                      ","VOLVO                                   ","13","793"
2012,"3 RH Tractor                                      ","VOLVO                                   ","13","793"
2006,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2005,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2005,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2005,"4 LH Tractor                                      ","VOLVO                                   ","12","732"
2005,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2005,"4 LH Tractor                                      ","FREIGHTLINER                            ","14.1","858"
2005,"4 LH Tractor                                      ","FREIGHTLINER                            ","14.1","858"
2007,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2005,"4 LH Tractor                                      ","FREIGHTLINER                            ","14.1","858"
2007,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2005,"4 LH Tractor                                      ","FREIGHTLINER                            ","14.1","858"
2005,"4 LH Tractor                                      ","VOLVO                                   ","12","732"
2006,"4 LH Tractor                                      ","FREIGHTLINER                            ","14.1","858"
2012,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2006,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2006,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2005,"4 LH Tractor                                      ","FREIGHTLINER                            ","14.1","858"
2007,"3 RH Tractor                                      ","INTERNATIONAL                           ","10.8","661"
2008,"4 LH Tractor                                      ","INTERNATIONAL                           ","15","915"
2011,"4 LH Tractor                                      ","FREIGHTLINER                            ","14.8","903"
2006,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2009,"4 LH Tractor                                      ","FREIGHTLINER                            ","14","855"
2010,"4 LH Tractor                                      ","FREIGHTLINER                            ","14","855"
2007,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2006,"4 LH Tractor                                      ","FREIGHTLINER                            ","14.1","858"
2007,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2005,"4 LH Tractor                                      ","FREIGHTLINER                            ","14.1","858"
2006,"4 LH Tractor                                      ","FREIGHTLINER                            ","14.1","858"
2007,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2012,"4 LH Tractor                                      ","VOLVO                                   ","15","915"
2006,"4 LH Tractor                                      ","FREIGHTLINER                            ","14","855"
